frame, gt_idx, det_idx,  IoU, JIoU(det&gt), JIoU(det&gt_unc), JIoU ratio
001187,     3,      3,  0.92,   0.88,     0.81,     1.08
001187,     4,      4,  0.91,   0.88,     0.79,     1.12
001192,     0,      0,  0.89,   0.77,     1.00,     0.77
001192,     1,      1,  0.90,   0.85,     0.89,     0.95
001192,     3,      3,  0.87,   0.78,     0.80,     0.98
001193,     4,      0,  0.90,   0.77,     1.00,     0.77
001195,     0,      2,  0.86,   0.84,     0.77,     1.10
001195,     1,      1,  0.93,   0.76,     1.00,     0.76
001195,     2,      0,  0.90,   0.76,     1.00,     0.76
001195,     3,     -1,  0.00,   0.00,     0.56,     0.00
001195,     4,      3,  0.92,   0.83,     0.91,     0.91
001195,     5,      4,  0.89,   0.82,     0.87,     0.95
001195,     6,     10,  0.51,   0.60,     0.48,     1.24
001195,     7,      6,  0.85,   0.63,     0.53,     1.19
001195,     9,      5,  0.83,   0.70,     0.81,     0.87
001199,     1,      1,  0.94,   0.77,     1.00,     0.77
001199,     4,      8,  0.84,   0.70,     0.93,     0.75
001199,     5,      3,  0.94,   0.76,     1.00,     0.76
001199,     6,      0,  0.94,   0.80,     0.91,     0.87
001199,     7,      2,  0.96,   0.83,     0.90,     0.93
001199,     8,      4,  0.86,   0.82,     0.82,     1.00
001199,     9,      6,  0.85,   0.83,     0.79,     1.05
001199,    10,     11,  0.91,   0.46,     0.28,     1.65
001203,     1,      1,  0.97,   0.80,     1.00,     0.80
001203,     2,      2,  0.90,   0.86,     0.87,     0.99
001206,     0,      2,  0.87,   0.75,     0.86,     0.86
001206,     4,      3,  0.90,   0.80,     0.75,     1.07
001206,     6,      4,  0.93,   0.87,     0.85,     1.02
001213,     0,      0,  0.68,   0.62,     0.88,     0.71
001214,     1,      2,  0.84,   0.80,     0.88,     0.91
001214,     2,      0,  0.94,   0.84,     0.92,     0.91
001214,     3,      4,  0.79,   0.84,     0.74,     1.13
001217,     1,      0,  0.93,   0.80,     1.00,     0.80
001217,     2,      1,  0.86,   0.78,     0.90,     0.86
001218,     1,      0,  0.88,   0.85,     0.88,     0.96
001218,     2,      1,  0.86,   0.88,     0.79,     1.12
001221,     0,      0,  0.94,   0.79,     1.00,     0.79
001221,     2,      4,  0.86,   0.80,     0.93,     0.87
001221,     3,      1,  0.85,   0.75,     1.00,     0.75
001221,     4,      2,  0.89,   0.82,     0.93,     0.88
001221,     5,      3,  0.88,   0.84,     0.90,     0.93
001221,     6,      6,  0.84,   0.86,     0.80,     1.07
001221,     7,      5,  0.87,   0.89,     0.78,     1.15
001222,     3,      2,  0.91,   0.77,     0.91,     0.84
001222,     4,      3,  0.88,   0.84,     0.85,     0.99
001222,     5,      5,  0.75,   0.71,     0.86,     0.82
001222,     6,      1,  0.90,   0.81,     0.91,     0.89
001222,     7,     -1,  0.00,   0.00,     0.79,     0.00
001222,     8,      6,  0.91,   0.87,     0.71,     1.22
001224,     1,      0,  0.90,   0.79,     1.00,     0.79
001224,     2,      2,  0.90,   0.79,     0.93,     0.85
001224,     3,      5,  0.92,   0.80,     0.92,     0.87
001224,     4,      7,  0.80,   0.67,     0.93,     0.72
001224,     5,      3,  0.80,   0.74,     0.92,     0.80
001224,     7,      6,  0.86,   0.83,     0.70,     1.19
001224,     8,     -1,  0.00,   0.00,     0.45,     0.00
001225,     1,      3,  0.71,   0.74,     0.82,     0.90
001225,     2,      0,  0.96,   0.78,     1.00,     0.78
001225,     3,      2,  0.82,   0.79,     0.87,     0.91
001225,     5,      1,  0.92,   0.82,     0.92,     0.89
001226,     1,      0,  0.92,   0.78,     1.00,     0.78
001226,     2,      1,  0.92,   0.85,     0.88,     0.97
001230,     0,      1,  0.93,   0.77,     1.00,     0.77
001230,     1,      0,  0.93,   0.78,     1.00,     0.78
001230,     2,      2,  0.94,   0.81,     0.95,     0.85
001230,     3,      3,  0.90,   0.86,     0.86,     1.01
001230,     4,      6,  0.83,   0.74,     0.94,     0.79
001230,     5,      8,  0.74,   0.73,     0.78,     0.93
001230,     6,     11,  0.65,   0.67,     0.55,     1.23
001230,     9,     14,  0.82,   0.74,     0.80,     0.92
001230,    10,      4,  0.94,   0.86,     0.80,     1.08
001230,    11,      7,  0.91,   0.84,     0.74,     1.13
001230,    12,      5,  0.95,   0.75,     0.60,     1.26
001232,     0,      1,  0.85,   0.76,     1.00,     0.76
001232,     2,      5,  0.89,   0.82,     0.84,     0.97
001232,     3,      2,  0.95,   0.87,     0.86,     1.01
001232,     4,      3,  0.92,   0.86,     0.84,     1.03
001232,     5,      4,  0.94,   0.75,     0.60,     1.25
001232,     6,      6,  0.92,   0.75,     0.59,     1.28
001234,     0,      0,  0.88,   0.73,     0.88,     0.83
001235,     1,      0,  0.10,   0.65,     0.74,     0.88
001236,     0,      0,  0.88,   0.81,     0.90,     0.90
001237,     0,      2,  0.89,   0.75,     1.00,     0.75
001237,     1,      1,  0.93,   0.78,     1.00,     0.78
001237,     2,      0,  0.89,   0.79,     0.93,     0.85
001237,     3,      8,  0.80,   0.73,     0.57,     1.27
001237,     4,      6,  0.84,   0.73,     0.91,     0.81
001237,     5,      3,  0.87,   0.81,     0.86,     0.95
001237,     6,      4,  0.83,   0.74,     0.64,     1.17
001237,     7,      5,  0.71,   0.69,     0.82,     0.85
001237,     8,     11,  0.76,   0.76,     0.77,     0.99
001237,     9,     12,  0.56,   0.75,     0.47,     1.61
001239,     0,      0,  0.88,   0.76,     1.00,     0.76
001241,     0,      0,  0.89,   0.79,     0.94,     0.84
001241,     1,      2,  0.79,   0.74,     0.90,     0.83
001241,     2,      3,  0.90,   0.85,     0.86,     0.99
001241,     3,      1,  0.86,   0.79,     0.85,     0.94
001241,     4,      4,  0.75,   0.70,     0.84,     0.84
001241,     5,      5,  0.89,   0.83,     0.77,     1.07
001242,     1,     -1,  0.00,   0.00,     0.66,     0.00
001243,     0,      1,  0.73,   0.56,     0.47,     1.20
001243,     1,      0,  0.95,   0.77,     1.00,     0.77
001243,     2,      2,  0.89,   0.80,     0.91,     0.89
001243,     3,     -1,  0.00,   0.00,     0.67,     0.00
001243,     4,      7,  0.85,   0.67,     0.43,     1.57
001244,     0,      4,  0.86,   0.56,     0.45,     1.25
001244,     2,      1,  0.90,   0.84,     0.91,     0.92
001244,     3,      3,  0.97,   0.80,     0.92,     0.87
001244,     4,      2,  0.96,   0.82,     0.93,     0.89
001244,     5,      7,  0.07,   0.65,     0.64,     1.01
001244,     6,      5,  0.96,   0.84,     0.87,     0.96
001244,    10,      6,  0.89,   0.50,     0.36,     1.36
001245,     0,      0,  0.82,   0.83,     0.80,     1.05
001246,     1,      5,  0.91,   0.74,     1.00,     0.74
001246,     2,      1,  0.86,   0.72,     1.00,     0.72
001246,     3,      2,  0.90,   0.77,     0.91,     0.85
001246,     5,      6,  0.90,   0.76,     1.00,     0.76
001246,     7,      4,  0.90,   0.79,     0.92,     0.87
001246,     8,      7,  0.93,   0.86,     0.86,     0.99
001253,     1,      1,  0.89,   0.87,     0.75,     1.16
001253,     2,      0,  0.89,   0.80,     0.89,     0.90
001253,     3,      3,  0.72,   0.80,     0.61,     1.32
001254,     1,      0,  0.80,   0.73,     0.89,     0.82
001254,     2,      3,  0.88,   0.49,     0.39,     1.26
001254,     3,      2,  0.87,   0.86,     0.84,     1.03
001254,     4,      1,  0.91,   0.82,     0.91,     0.90
001254,     7,      7,  0.79,   0.79,     0.71,     1.11
001254,     8,      5,  0.67,   0.72,     0.74,     0.97
001257,     1,      0,  0.90,   0.86,     0.70,     1.23
001259,     0,      0,  0.87,   0.81,     0.94,     0.86
001260,     0,      0,  0.93,   0.76,     1.00,     0.76
001261,     1,      0,  0.93,   0.79,     1.00,     0.79
001261,     2,      1,  0.87,   0.80,     0.90,     0.90
001261,     3,      2,  0.83,   0.82,     0.86,     0.95
001261,     4,      3,  0.87,   0.88,     0.84,     1.05
001263,     0,      1,  0.83,   0.47,     0.32,     1.46
001265,     0,      0,  0.89,   0.80,     0.92,     0.87
001268,     0,      0,  0.91,   0.78,     1.00,     0.78
001268,     1,      3,  0.84,   0.83,     0.82,     1.01
001268,     2,      1,  0.80,   0.73,     0.91,     0.80
001268,     4,      4,  0.87,   0.80,     0.66,     1.21
001269,     1,      0,  0.85,   0.72,     1.00,     0.72
001270,     0,      2,  0.86,   0.74,     0.93,     0.79
001270,     1,      4,  0.70,   0.77,     0.84,     0.91
001270,     2,      3,  0.69,   0.72,     0.80,     0.90
001270,     5,      1,  0.92,   0.81,     0.94,     0.87
001271,     0,      0,  0.75,   0.72,     1.00,     0.72
001273,     1,      1,  0.89,   0.83,     0.77,     1.08
001273,     2,      0,  0.88,   0.74,     1.00,     0.74
001274,     1,      1,  0.93,   0.78,     1.00,     0.78
001274,     2,      0,  0.84,   0.79,     0.94,     0.84
001274,     4,      3,  0.87,   0.85,     0.88,     0.98
001274,     5,      5,  0.87,   0.81,     0.90,     0.90
001274,     6,      4,  0.92,   0.88,     0.84,     1.05
001275,     0,      2,  0.79,   0.45,     0.32,     1.42
001275,     1,      0,  0.90,   0.88,     0.78,     1.12
001275,     2,      1,  0.42,   0.66,     0.75,     0.89
001281,     2,      0,  0.83,   0.83,     0.83,     1.00
001284,     0,      1,  0.92,   0.80,     0.93,     0.86
001284,     3,      0,  0.87,   0.74,     0.90,     0.82
001284,     4,      2,  0.77,   0.72,     0.69,     1.03
001287,     0,      2,  0.93,   0.82,     0.92,     0.89
001287,     3,      0,  0.96,   0.79,     1.00,     0.79
001287,     4,      3,  0.90,   0.76,     0.90,     0.85
001287,     5,      1,  0.91,   0.81,     0.93,     0.87
001287,     6,     -1,  0.00,   0.00,     0.64,     0.00
001287,     8,      7,  0.83,   0.84,     0.79,     1.07
001287,    11,      6,  0.87,   0.50,     0.36,     1.38
001289,     2,      1,  0.70,   0.71,     0.59,     1.20
001291,     0,      1,  0.87,   0.87,     0.79,     1.10
001291,     1,      0,  0.86,   0.84,     0.73,     1.16
001292,     0,      0,  0.86,   0.78,     0.64,     1.21
001294,     2,      0,  0.88,   0.74,     1.00,     0.74
001294,     3,     10,  0.77,   0.77,     0.68,     1.13
001294,     5,      1,  0.91,   0.80,     0.94,     0.85
001294,     6,      3,  0.91,   0.81,     0.88,     0.93
001294,     7,      5,  0.86,   0.82,     0.68,     1.20
001295,     0,      0,  0.89,   0.80,     0.92,     0.88
001295,     1,      1,  0.88,   0.84,     0.71,     1.18
001296,     0,      2,  0.71,   0.48,     0.33,     1.46
001296,     2,      1,  0.67,   0.62,     0.47,     1.31
001296,     3,      4,  0.68,   0.50,     0.29,     1.71
001303,     0,      1,  0.82,   0.79,     0.88,     0.90
001303,     1,      2,  0.83,   0.78,     0.90,     0.87
001303,     2,      0,  0.93,   0.76,     0.88,     0.86
001304,     0,      0,  0.64,   0.57,     0.47,     1.21
001304,     2,      1,  0.88,   0.82,     0.84,     0.97
001305,     0,      1,  0.63,   0.54,     0.40,     1.35
001305,     2,      0,  0.78,   0.77,     0.89,     0.86
001305,     3,      3,  0.82,   0.78,     0.58,     1.34
001306,     0,      2,  0.82,   0.80,     0.83,     0.97
001306,     3,      1,  0.92,   0.83,     0.93,     0.89
001306,     4,      3,  0.97,   0.83,     0.93,     0.89
001306,     5,      5,  0.34,   0.65,     0.85,     0.76
001306,     9,      4,  0.95,   0.87,     0.85,     1.02
001307,     1,      0,  0.87,   0.87,     0.74,     1.18
001308,     2,      1,  0.88,   0.82,     0.91,     0.90
001317,     0,      1,  0.87,   0.77,     0.90,     0.86
001317,     3,      2,  0.89,   0.83,     0.90,     0.92
001317,     4,      4,  0.76,   0.77,     0.80,     0.96
001318,     0,      1,  0.67,   0.46,     0.33,     1.40
001318,     1,      0,  0.91,   0.80,     0.94,     0.85
001329,     0,      0,  0.81,   0.45,     0.32,     1.39
001330,     0,      0,  0.96,   0.76,     1.00,     0.76
001330,     2,      2,  0.38,   0.60,     0.83,     0.72
001330,     3,      3,  0.06,   0.41,     0.29,     1.43
001330,     4,      1,  0.93,   0.85,     0.86,     0.99
001330,     6,      4,  0.42,   0.68,     0.45,     1.51
001331,     1,      0,  0.85,   0.83,     0.79,     1.05
001331,     2,      1,  0.82,   0.77,     0.70,     1.10
001332,     1,      2,  0.87,   0.84,     0.70,     1.20
001332,     2,      0,  0.87,   0.80,     0.93,     0.86
001332,     3,      1,  0.83,   0.79,     0.91,     0.86
001332,     4,      3,  0.70,   0.65,     0.48,     1.34
001333,     1,      2,  0.84,   0.76,     1.00,     0.76
001333,     2,      0,  0.94,   0.78,     1.00,     0.78
001333,     3,      1,  0.94,   0.85,     0.84,     1.01
001333,     5,      6,  0.76,   0.78,     0.79,     0.99
001336,     3,      1,  0.66,   0.72,     0.78,     0.93
001336,     5,      2,  0.76,   0.81,     0.70,     1.15
001336,     6,      3,  0.89,   0.32,     0.23,     1.40
001337,     0,      1,  0.84,   0.71,     1.00,     0.71
001337,     1,      0,  0.87,   0.78,     1.00,     0.78
001337,     2,      2,  0.85,   0.77,     0.93,     0.84
001337,     3,      3,  0.88,   0.82,     0.93,     0.89
001337,     4,      4,  0.87,   0.84,     0.75,     1.11
001337,     5,      5,  0.86,   0.81,     0.69,     1.17
001339,     1,      1,  0.86,   0.86,     0.82,     1.04
001342,     0,      0,  0.63,   0.55,     0.51,     1.07
001344,     1,     -1,  0.00,   0.00,     0.38,     0.00
001346,     1,      0,  0.74,   0.69,     0.94,     0.74
001347,     0,      0,  0.77,   0.77,     0.83,     0.93
001347,     1,      1,  0.72,   0.78,     0.73,     1.07
001352,     1,      0,  0.86,   0.80,     0.93,     0.86
001355,    10,      0,  0.75,   0.69,     0.58,     1.19
001359,     0,      1,  0.89,   0.44,     0.32,     1.36
001359,     1,      0,  0.89,   0.74,     1.00,     0.74
001363,     0,      1,  0.84,   0.85,     0.78,     1.09
001363,     1,      2,  0.81,   0.82,     0.80,     1.02
001363,     2,      0,  0.75,   0.71,     0.96,     0.73
001363,     3,      3,  0.67,   0.65,     0.57,     1.13
001365,     0,      0,  0.90,   0.79,     1.00,     0.79
001365,     1,      3,  0.78,   0.70,     0.93,     0.75
001365,     2,      1,  0.96,   0.75,     1.00,     0.75
001365,     3,      2,  0.85,   0.80,     0.89,     0.90
001372,     0,      1,  0.69,   0.70,     0.90,     0.78
001372,     2,      0,  0.92,   0.85,     0.87,     0.98
001372,     3,      2,  0.76,   0.49,     0.40,     1.23
001375,     0,      0,  0.76,   0.75,     0.71,     1.05
001376,     1,      2,  0.88,   0.77,     1.00,     0.77
001376,     3,      1,  0.86,   0.74,     1.00,     0.74
001376,     4,      0,  0.93,   0.83,     0.91,     0.91
001376,     5,      5,  0.58,   0.57,     0.39,     1.48
001376,     6,      4,  0.93,   0.89,     0.71,     1.25
001377,     0,      1,  0.91,   0.77,     1.00,     0.77
001377,     1,      0,  0.87,   0.83,     0.93,     0.89
001377,     2,      3,  0.84,   0.78,     0.82,     0.94
001380,     0,      0,  0.92,   0.79,     1.00,     0.79
001380,     3,      2,  0.67,   0.74,     0.72,     1.03
001380,     6,      1,  0.93,   0.79,     1.00,     0.79
001381,     0,      0,  0.82,   0.76,     1.00,     0.76
001382,     0,      0,  0.93,   0.85,     0.83,     1.03
001382,     1,      1,  0.91,   0.39,     0.28,     1.40
001386,     1,      0,  0.81,   0.73,     1.00,     0.73
001387,     1,      0,  0.90,   0.85,     0.87,     0.98
001388,     0,      1,  0.87,   0.80,     0.91,     0.88
001388,     4,      2,  0.88,   0.80,     0.91,     0.88
001388,     5,      0,  0.91,   0.77,     1.00,     0.77
001388,     6,      4,  0.81,   0.70,     1.00,     0.70
001388,     7,      5,  0.88,   0.87,     0.82,     1.06
001389,     2,      3,  0.89,   0.82,     0.74,     1.10
001389,     3,      0,  0.92,   0.80,     0.91,     0.88
001389,     4,      4,  0.92,   0.84,     0.89,     0.94
001389,     5,      6,  0.86,   0.70,     0.55,     1.27
001389,     6,      5,  0.92,   0.86,     0.75,     1.15
001391,     1,      2,  0.96,   0.78,     1.00,     0.78
001391,     2,      0,  0.89,   0.74,     0.89,     0.83
001391,     4,     11,  0.86,   0.79,     0.61,     1.28
001391,     5,      6,  0.91,   0.84,     0.83,     1.01
001391,     6,      7,  0.86,   0.77,     0.89,     0.87
001391,     7,      1,  0.89,   0.83,     0.86,     0.96
001391,     8,      9,  0.85,   0.84,     0.84,     1.00
001391,     9,      3,  0.89,   0.80,     0.92,     0.87
001395,     0,      0,  0.86,   0.82,     0.74,     1.12
001398,     2,      2,  0.94,   0.89,     0.74,     1.20
001407,     1,      2,  0.77,   0.76,     0.89,     0.86
001407,     2,      0,  0.90,   0.85,     0.81,     1.05
001407,     3,      5,  0.82,   0.76,     0.83,     0.91
001410,     1,      0,  0.93,   0.78,     1.00,     0.78
001410,     2,      1,  0.91,   0.77,     1.00,     0.77
001410,     3,      2,  0.88,   0.80,     0.93,     0.86
001410,     4,      5,  0.83,   0.74,     0.95,     0.78
001410,     5,      7,  0.70,   0.66,     0.85,     0.78
001410,     6,     11,  0.71,   0.72,     0.74,     0.97
001410,     8,     12,  0.79,   0.73,     0.81,     0.91
001410,     9,      4,  0.91,   0.82,     0.87,     0.94
001410,    10,      3,  0.90,   0.83,     0.85,     0.98
001410,    11,      6,  0.92,   0.87,     0.76,     1.15
001411,     0,      1,  0.70,   0.66,     0.87,     0.75
001411,     2,      2,  0.89,   0.78,     0.93,     0.84
001412,     2,      2,  0.86,   0.76,     1.00,     0.76
001412,     3,      3,  0.89,   0.77,     1.00,     0.77
001412,     4,      6,  0.96,   0.81,     0.92,     0.88
001412,     5,      4,  0.90,   0.84,     0.89,     0.95
001412,     6,      1,  0.89,   0.79,     0.90,     0.88
001412,     7,      7,  0.83,   0.77,     0.76,     1.01
001412,     8,     -1,  0.00,   0.00,     0.91,     0.00
001412,     9,      8,  0.69,   0.63,     0.51,     1.25
001415,     2,      0,  0.90,   0.81,     1.00,     0.81
001415,     3,      1,  0.94,   0.77,     1.00,     0.77
001415,     4,      4,  0.91,   0.80,     0.75,     1.07
001415,     5,      5,  0.93,   0.82,     0.67,     1.24
001416,     1,      2,  0.80,   0.69,     0.93,     0.74
001416,     2,      1,  0.93,   0.84,     0.91,     0.92
001419,     7,      0,  0.91,   0.80,     0.93,     0.86
001424,     3,      0,  0.92,   0.82,     0.93,     0.88
001424,     4,      3,  0.85,   0.70,     0.57,     1.23
001424,     5,      1,  0.91,   0.82,     0.88,     0.93
001424,     6,      4,  0.84,   0.73,     0.56,     1.31
001432,     1,      0,  0.78,   0.78,     0.82,     0.95
001435,     0,      2,  0.73,   0.73,     0.72,     1.01
001435,     2,      0,  0.95,   0.79,     0.93,     0.85
001435,     3,      3,  0.81,   0.76,     0.89,     0.86
001435,     4,     -1,  0.00,   0.00,     0.33,     0.00
001438,     0,      1,  0.94,   0.77,     1.00,     0.77
001438,     2,      2,  0.88,   0.83,     0.85,     0.98
001438,     5,      3,  0.79,   0.80,     0.70,     1.14
001439,     0,      0,  0.66,   0.61,     0.82,     0.75
001442,     1,      1,  0.93,   0.84,     0.83,     1.02
001442,     2,      2,  0.62,   0.67,     0.68,     0.99
001443,     0,      0,  0.94,   0.78,     1.00,     0.78
001443,     1,      1,  0.92,   0.81,     0.92,     0.88
001443,     2,      2,  0.87,   0.84,     0.80,     1.05
001443,     3,      5,  0.00,   0.66,     0.59,     1.13
001445,     1,      2,  0.89,   0.81,     0.90,     0.90
001445,     2,      0,  0.90,   0.82,     0.87,     0.94
001445,     3,      3,  0.96,   0.81,     0.74,     1.09
001445,     4,      4,  0.77,   0.37,     0.30,     1.27
001446,     0,      5,  0.93,   0.45,     0.34,     1.31
001446,     2,      4,  0.76,   0.51,     0.36,     1.40
001446,     4,      0,  0.93,   0.79,     0.94,     0.84
001446,     5,      2,  0.92,   0.88,     0.77,     1.14
001446,     6,      3,  0.93,   0.90,     0.80,     1.11
001448,     3,      3,  0.45,   0.47,     0.28,     1.69
001451,     1,      2,  0.83,   0.32,     0.21,     1.54
001458,     1,      2,  0.92,   0.77,     1.00,     0.77
001458,     2,      4,  0.82,   0.76,     0.93,     0.82
001458,     3,      6,  0.91,   0.75,     0.95,     0.79
001458,     5,      3,  0.77,   0.70,     1.00,     0.70
001458,     7,      5,  0.85,   0.84,     0.75,     1.12
001458,     8,      8,  0.88,   0.82,     0.63,     1.29
001461,     1,      0,  0.78,   0.79,     0.87,     0.91
001463,     0,      2,  0.68,   0.53,     0.32,     1.64
001463,     3,      1,  0.87,   0.81,     0.79,     1.03
001466,     0,      1,  0.79,   0.74,     0.81,     0.91
001469,     0,      3,  0.87,   0.85,     0.83,     1.03
001469,     1,      2,  0.85,   0.76,     0.91,     0.84
001469,     2,      1,  0.98,   0.80,     1.00,     0.80
001469,     3,     -1,  0.00,   0.00,     0.54,     0.00
001469,     4,      0,  0.95,   0.83,     0.93,     0.89
001469,     5,      4,  0.86,   0.86,     0.80,     1.08
001469,     6,      6,  0.83,   0.81,     0.62,     1.30
001469,     8,     -1,  0.00,   0.00,     0.22,     0.00
001471,     0,      0,  0.65,   0.66,     0.75,     0.88
001478,     0,      0,  0.90,   0.82,     0.93,     0.88
001480,     1,      0,  0.85,   0.85,     0.75,     1.14
001481,     0,      2,  0.95,   0.88,     0.76,     1.16
001481,     2,      0,  0.96,   0.81,     1.00,     0.81
001481,     3,     -1,  0.00,   0.00,     0.65,     0.00
001481,     4,      1,  0.93,   0.86,     0.90,     0.96
001481,     8,     -1,  0.00,   0.00,     0.34,     0.00
001485,     2,      0,  0.83,   0.85,     0.80,     1.07
001487,     0,      0,  0.81,   0.82,     0.83,     0.99
001495,     1,      0,  0.96,   0.76,     1.00,     0.76
001495,     3,      1,  0.93,   0.78,     0.93,     0.84
001495,     4,      5,  0.77,   0.73,     0.76,     0.97
001495,     5,      4,  0.67,   0.63,     0.84,     0.74
001497,     0,      1,  0.94,   0.79,     0.87,     0.91
001497,     4,      4,  0.95,   0.63,     0.53,     1.20
001497,     6,      3,  0.92,   0.88,     0.87,     1.00
001502,     1,     -1,  0.00,   0.00,     0.35,     0.00
001507,     0,      2,  0.39,   0.61,     0.44,     1.38
001508,     1,      0,  0.95,   0.83,     0.93,     0.89
001508,     2,      2,  0.86,   0.76,     0.91,     0.84
001508,     3,      1,  0.92,   0.87,     0.87,     1.00
001508,     4,      4,  0.90,   0.83,     0.85,     0.97
001508,     5,      5,  0.77,   0.74,     0.82,     0.90
001508,     6,      6,  0.78,   0.72,     0.55,     1.33
001511,     1,      0,  0.86,   0.80,     0.93,     0.86
001513,     2,      2,  0.91,   0.76,     1.00,     0.76
001513,     3,     -1,  0.00,   0.00,     0.77,     0.00
001513,     4,      5,  0.95,   0.82,     0.85,     0.97
001513,     6,      1,  0.95,   0.83,     0.92,     0.91
001513,     7,      4,  0.87,   0.79,     0.82,     0.96
001514,     0,      4,  0.93,   0.38,     0.28,     1.36
001514,     3,      2,  0.92,   0.84,     0.91,     0.92
001514,     4,      1,  0.97,   0.85,     0.90,     0.95
001514,     5,      0,  0.96,   0.85,     0.92,     0.92
001514,     9,      5,  0.84,   0.85,     0.75,     1.14
001514,    10,     -1,  0.00,   0.00,     0.45,     0.00
001516,     0,      0,  0.66,   0.63,     0.87,     0.72
001517,     0,      3,  0.81,   0.40,     0.26,     1.56
001517,     1,      5,  0.84,   0.69,     0.48,     1.43
001521,     1,      2,  0.91,   0.86,     0.78,     1.11
001521,     2,      1,  0.84,   0.73,     1.00,     0.73
001522,     1,      1,  0.90,   0.77,     1.00,     0.77
001522,     2,      4,  0.93,   0.80,     0.93,     0.86
001522,     3,      2,  0.95,   0.86,     0.87,     0.99
001522,     4,      3,  0.94,   0.76,     0.65,     1.18
001522,     5,      5,  0.92,   0.82,     0.70,     1.18
001522,     6,     10,  0.60,   0.66,     0.78,     0.85
001522,     7,     16,  0.26,   0.40,     0.27,     1.49
001522,     8,      6,  0.87,   0.84,     0.79,     1.06
001522,     9,     11,  0.64,   0.57,     0.46,     1.23
001522,    10,      9,  0.75,   0.59,     0.47,     1.25
001522,    11,     12,  0.69,   0.76,     0.72,     1.05
001522,    12,      8,  0.82,   0.60,     0.42,     1.43
001524,     1,      0,  0.83,   0.83,     0.77,     1.08
001526,     0,      0,  0.91,   0.81,     0.92,     0.88
001527,     1,      1,  0.72,   0.74,     0.55,     1.34
001528,     0,      0,  0.89,   0.77,     0.95,     0.81
001528,     1,      1,  0.77,   0.76,     0.88,     0.87
001533,     0,      3,  0.86,   0.84,     0.78,     1.08
001533,     3,      2,  0.88,   0.82,     0.92,     0.89
001533,     4,      1,  0.97,   0.80,     0.92,     0.88
001533,     5,      5,  0.75,   0.60,     0.41,     1.47
001533,     6,      4,  0.85,   0.84,     0.85,     0.99
001533,     7,      6,  0.88,   0.41,     0.25,     1.63
001533,    10,      7,  0.72,   0.67,     0.51,     1.32
001535,     0,      0,  0.90,   0.75,     1.00,     0.75
001535,     1,      1,  0.85,   0.79,     0.91,     0.87
001535,     2,      2,  0.81,   0.74,     1.00,     0.74
001535,     3,      6,  0.85,   0.82,     0.87,     0.94
001535,     4,      4,  0.90,   0.58,     0.45,     1.29
001535,     5,      3,  0.90,   0.84,     0.87,     0.97
001535,     6,      5,  0.94,   0.88,     0.77,     1.13
001535,     7,      7,  0.86,   0.77,     0.66,     1.16
001535,     8,      8,  0.61,   0.53,     0.33,     1.59
001536,     0,      2,  0.82,   0.38,     0.26,     1.46
001536,     1,      0,  0.95,   0.79,     0.95,     0.83
001537,     2,      1,  0.87,   0.74,     0.91,     0.81
001537,     3,      0,  0.77,   0.81,     0.67,     1.20
001538,     1,      2,  0.86,   0.81,     0.90,     0.91
001538,     2,      0,  0.93,   0.79,     0.92,     0.86
001538,     5,      1,  0.61,   0.64,     0.81,     0.80
001542,     0,      3,  0.89,   0.37,     0.23,     1.57
001542,     1,      1,  0.88,   0.84,     0.80,     1.05
001542,     2,      0,  0.85,   0.82,     0.79,     1.04
001545,     1,      2,  0.86,   0.80,     0.90,     0.89
001545,     2,      3,  0.86,   0.82,     0.82,     0.99
001545,     3,      4,  0.88,   0.83,     0.74,     1.12
001545,     5,      5,  0.77,   0.75,     0.63,     1.19
001545,     7,      0,  0.83,   0.76,     0.93,     0.82
001546,     1,      0,  0.87,   0.77,     0.91,     0.85
001552,     0,      0,  0.88,   0.78,     1.00,     0.78
001552,     1,      1,  0.98,   0.80,     1.00,     0.80
001552,     2,      3,  0.79,   0.57,     0.45,     1.28
001552,     4,      4,  0.90,   0.83,     0.91,     0.91
001552,     5,      2,  0.93,   0.82,     0.74,     1.11
001555,     0,      2,  0.66,   0.65,     0.85,     0.76
001555,     2,      1,  0.95,   0.81,     0.95,     0.86
001555,     3,      3,  0.82,   0.80,     0.81,     1.00
001557,     3,      0,  0.91,   0.77,     1.00,     0.77
001557,     5,      4,  0.85,   0.84,     0.87,     0.96
001557,     7,      6,  0.81,   0.57,     0.43,     1.32
001560,     2,      2,  0.86,   0.79,     1.00,     0.79
001560,     3,      1,  0.89,   0.79,     1.00,     0.79
001560,     4,      0,  0.87,   0.82,     0.92,     0.89
001560,     5,      3,  0.93,   0.84,     0.86,     0.97
001560,     6,      4,  0.90,   0.38,     0.27,     1.41
001560,     7,      5,  0.92,   0.47,     0.32,     1.46
001562,     0,      0,  0.90,   0.77,     1.00,     0.77
001562,     1,      2,  0.87,   0.79,     0.92,     0.86
001562,     2,      1,  0.91,   0.82,     0.92,     0.89
001562,     3,      3,  0.85,   0.86,     0.73,     1.17
001562,     4,      4,  0.89,   0.85,     0.72,     1.19
001564,     0,      2,  0.95,   0.80,     0.93,     0.86
001564,     1,      1,  0.94,   0.79,     1.00,     0.79
001564,     2,      5,  0.92,   0.89,     0.78,     1.15
001564,     3,      3,  0.91,   0.76,     1.00,     0.76
