frame, gt_idx, det_idx,  IoU, JIoU(det&gt), JIoU(det&gt_unc), JIoU ratio
000385,     1,      1,  0.90,   0.80,     0.92,     0.88
000385,     2,      2,  0.94,   0.84,     0.91,     0.92
000385,     3,      3,  0.85,   0.86,     0.70,     1.24
000385,     4,      4,  0.88,   0.44,     0.32,     1.38
000386,     0,      4,  0.93,   0.60,     0.49,     1.22
000386,     1,      2,  0.93,   0.78,     1.00,     0.78
000386,     3,      0,  0.93,   0.84,     0.92,     0.92
000386,     4,      1,  0.93,   0.83,     0.93,     0.90
000386,     5,      7,  0.77,   0.80,     0.62,     1.28
000386,     6,      3,  0.92,   0.87,     0.85,     1.02
000386,     8,      6,  0.88,   0.83,     0.70,     1.19
000391,     0,      1,  0.89,   0.50,     0.39,     1.29
000391,     2,      0,  0.96,   0.82,     0.91,     0.90
000392,     0,      3,  0.89,   0.75,     1.00,     0.75
000392,     1,      2,  0.86,   0.73,     1.00,     0.73
000392,     2,      1,  0.88,   0.78,     0.92,     0.85
000392,     3,      7,  0.86,   0.82,     0.75,     1.09
000392,     4,      5,  0.84,   0.82,     0.77,     1.06
000392,     5,      0,  0.90,   0.79,     0.91,     0.86
000392,     6,      4,  0.86,   0.85,     0.86,     0.99
000392,     7,      9,  0.76,   0.77,     0.62,     1.24
000393,     1,      0,  0.94,   0.78,     0.90,     0.87
000393,     2,      7,  0.83,   0.79,     0.81,     0.97
000393,     3,      4,  0.65,   0.58,     0.95,     0.62
000393,     4,      1,  0.90,   0.75,     0.89,     0.85
000393,     5,      5,  0.84,   0.79,     0.77,     1.03
000393,     6,      3,  0.88,   0.85,     0.82,     1.03
000393,     7,      8,  0.92,   0.70,     0.52,     1.35
000395,     0,      0,  0.96,   0.77,     1.00,     0.77
000395,     2,      1,  0.87,   0.73,     1.00,     0.73
000395,     3,      4,  0.86,   0.74,     0.93,     0.80
000395,     4,      2,  0.77,   0.73,     0.91,     0.80
000395,     5,      7,  0.94,   0.81,     0.87,     0.94
000395,     7,      8,  0.91,   0.77,     0.94,     0.82
000395,     9,      3,  0.88,   0.81,     0.88,     0.92
000395,    10,      6,  0.78,   0.75,     0.65,     1.15
000397,     1,      2,  0.92,   0.83,     0.91,     0.91
000397,     2,      1,  0.90,   0.79,     0.94,     0.84
000397,     3,     13,  0.07,   0.53,     0.82,     0.64
000397,     4,     11,  0.71,   0.64,     0.90,     0.72
000397,     5,      3,  0.94,   0.70,     0.56,     1.25
000401,     1,      1,  0.87,   0.78,     0.91,     0.86
000401,     2,      2,  0.93,   0.78,     0.88,     0.89
000401,     5,      4,  0.84,   0.69,     0.59,     1.16
000401,     6,      3,  0.78,   0.79,     0.82,     0.96
000401,     8,      6,  0.72,   0.39,     0.23,     1.71
000401,     9,      7,  0.63,   0.35,     0.26,     1.39
000402,     0,      0,  0.94,   0.81,     0.93,     0.87
000403,     1,      0,  0.91,   0.84,     0.89,     0.94
000403,     2,      1,  0.88,   0.79,     0.93,     0.85
000403,     4,      3,  0.80,   0.83,     0.73,     1.13
000403,     5,      2,  0.85,   0.68,     0.51,     1.34
000404,     1,      2,  0.91,   0.81,     0.93,     0.87
000404,     4,      0,  0.95,   0.79,     1.00,     0.79
000404,     5,      1,  0.76,   0.79,     0.78,     1.01
000404,     6,      3,  0.96,   0.87,     0.91,     0.96
000404,     7,      8,  0.85,   0.83,     0.84,     0.99
000404,     8,      6,  0.81,   0.80,     0.78,     1.03
000404,    10,     -1,  0.00,   0.00,     0.32,     0.00
000408,     1,      4,  0.94,   0.87,     0.87,     1.00
000408,     2,      2,  0.78,   0.70,     1.00,     0.70
000408,     4,      3,  0.89,   0.85,     0.83,     1.02
000408,     5,      5,  0.90,   0.83,     0.71,     1.16
000408,     7,      1,  0.92,   0.76,     0.89,     0.85
000409,     0,      0,  0.66,   0.63,     0.87,     0.72
000413,     0,      1,  0.72,   0.41,     0.28,     1.46
000413,     1,      0,  0.89,   0.75,     1.00,     0.75
000413,     2,      2,  0.81,   0.81,     0.80,     1.01
000414,     0,      0,  0.87,   0.70,     0.85,     0.82
000415,     0,      3,  0.90,   0.79,     1.00,     0.79
000415,     1,      1,  0.88,   0.83,     0.91,     0.91
000415,     2,      7,  0.87,   0.80,     0.86,     0.93
000415,     3,      2,  0.95,   0.80,     0.93,     0.86
000415,     4,      6,  0.91,   0.85,     0.77,     1.11
000415,     5,      5,  0.92,   0.83,     0.91,     0.92
000415,     6,      4,  0.87,   0.89,     0.82,     1.08
000415,     7,      0,  0.86,   0.79,     1.00,     0.79
000415,     8,      9,  0.78,   0.72,     0.63,     1.14
000419,     0,      0,  0.92,   0.89,     0.78,     1.14
000420,     1,      1,  0.88,   0.80,     0.89,     0.89
000420,     2,      2,  0.82,   0.76,     0.92,     0.83
000420,     3,      3,  0.94,   0.78,     0.91,     0.85
000420,     4,      4,  0.82,   0.80,     0.84,     0.95
000422,     2,      0,  0.95,   0.78,     1.00,     0.78
000427,     0,      0,  0.86,   0.81,     0.88,     0.92
000427,     2,      1,  0.93,   0.78,     1.00,     0.78
000427,     5,      2,  0.93,   0.83,     0.92,     0.90
000427,     7,      5,  0.86,   0.82,     0.57,     1.42
000428,     0,      0,  0.86,   0.87,     0.80,     1.08
000429,     0,      4,  0.94,   0.79,     1.00,     0.79
000429,     2,      3,  0.90,   0.81,     0.95,     0.86
000429,     3,      1,  0.95,   0.79,     1.00,     0.79
000429,     4,      5,  0.96,   0.87,     0.86,     1.01
000429,     5,      2,  0.95,   0.84,     0.91,     0.92
000429,     6,      8,  0.91,   0.86,     0.82,     1.05
000429,     7,      6,  0.90,   0.82,     0.77,     1.08
000429,     8,      7,  0.90,   0.83,     0.74,     1.12
000429,     9,     10,  0.82,   0.64,     0.51,     1.25
000430,     1,      2,  0.67,   0.54,     0.34,     1.61
000430,     2,      1,  0.73,   0.69,     0.93,     0.74
000436,     1,      1,  0.96,   0.79,     1.00,     0.79
000436,     2,      3,  0.92,   0.84,     0.91,     0.93
000436,     3,      2,  0.88,   0.78,     1.00,     0.78
000436,     4,      4,  0.75,   0.74,     0.81,     0.92
000436,     7,      5,  0.83,   0.40,     0.30,     1.30
000436,     8,      6,  0.84,   0.83,     0.78,     1.06
000436,    10,      7,  0.77,   0.59,     0.46,     1.30
000440,     0,      1,  0.72,   0.44,     0.28,     1.57
000440,     1,      0,  0.93,   0.84,     0.87,     0.97
000443,     0,      2,  0.90,   0.74,     1.00,     0.74
000443,     1,      1,  0.86,   0.80,     0.92,     0.87
000443,     2,      0,  0.89,   0.80,     0.90,     0.89
000443,     3,      3,  0.90,   0.82,     0.76,     1.08
000443,     4,      4,  0.86,   0.83,     0.78,     1.07
000443,     6,      7,  0.75,   0.36,     0.27,     1.34
000446,     1,      0,  0.84,   0.75,     1.00,     0.75
000448,     0,      1,  0.92,   0.80,     0.90,     0.89
000448,     1,      0,  0.84,   0.59,     0.51,     1.17
000450,     1,      0,  0.73,   0.72,     0.91,     0.79
000453,     2,      1,  0.88,   0.83,     0.92,     0.90
000453,     3,      3,  0.81,   0.58,     0.42,     1.37
000453,     5,      2,  0.83,   0.83,     0.84,     0.98
000454,     1,      0,  0.91,   0.77,     0.70,     1.10
000455,     1,      4,  0.92,   0.89,     0.80,     1.11
000455,     2,      6,  0.08,   0.69,     0.74,     0.93
000455,     3,      5,  0.90,   0.87,     0.75,     1.16
000455,     4,      3,  0.85,   0.76,     0.96,     0.79
000455,     5,      2,  0.95,   0.84,     0.85,     0.98
000455,     6,      0,  0.88,   0.79,     0.91,     0.87
000455,     7,      1,  0.86,   0.74,     1.00,     0.74
000457,     0,      0,  0.91,   0.56,     0.45,     1.25
000459,     1,      1,  0.87,   0.70,     0.57,     1.23
000459,     2,      3,  0.80,   0.55,     0.37,     1.49
000459,     3,      2,  0.88,   0.83,     0.86,     0.96
000463,     2,      3,  0.76,   0.74,     0.84,     0.88
000463,     3,      5,  0.76,   0.77,     0.68,     1.13
000463,     4,      1,  0.88,   0.72,     1.00,     0.72
000463,     5,      4,  0.86,   0.78,     0.94,     0.83
000468,     0,      1,  0.54,   0.52,     0.90,     0.57
000468,     2,      0,  0.91,   0.79,     0.95,     0.83
000468,     3,      2,  0.90,   0.84,     0.89,     0.95
000472,     0,      1,  0.89,   0.79,     0.92,     0.86
000472,     2,      4,  0.92,   0.90,     0.81,     1.11
000472,     3,      0,  0.92,   0.86,     0.88,     0.98
000472,     4,      3,  0.85,   0.47,     0.33,     1.43
000473,     0,      0,  0.86,   0.81,     0.70,     1.17
000475,     1,      0,  0.93,   0.79,     1.00,     0.79
000475,     2,      2,  0.92,   0.78,     1.00,     0.78
000475,     3,      1,  0.92,   0.83,     0.90,     0.92
000475,     4,      5,  0.92,   0.87,     0.85,     1.03
000475,     5,      4,  0.92,   0.84,     0.89,     0.94
000475,     6,      6,  0.83,   0.55,     0.38,     1.43
000475,     7,      7,  0.78,   0.76,     0.59,     1.27
000476,     0,      0,  0.91,   0.87,     0.82,     1.06
000478,     1,      1,  0.87,   0.87,     0.79,     1.11
000478,     2,      0,  0.88,   0.75,     0.93,     0.80
000478,     3,      2,  0.32,   0.65,     0.47,     1.38
000479,     3,      0,  0.81,   0.76,     0.87,     0.88
000480,     3,      0,  0.80,   0.79,     0.86,     0.92
000481,     0,      0,  0.93,   0.82,     0.89,     0.92
000481,     1,      1,  0.87,   0.82,     0.86,     0.95
000485,     0,      0,  0.91,   0.75,     1.00,     0.75
000485,     1,      1,  0.89,   0.81,     0.92,     0.88
000485,     2,      2,  0.87,   0.85,     0.78,     1.09
000485,     3,      5,  0.61,   0.56,     0.38,     1.48
000486,     1,      2,  0.93,   0.82,     0.95,     0.86
000486,     2,      1,  0.93,   0.78,     1.00,     0.78
000486,     3,      3,  0.93,   0.81,     0.89,     0.92
000486,     4,      4,  0.86,   0.81,     0.86,     0.93
000486,     7,      6,  0.85,   0.48,     0.31,     1.55
000489,     1,      0,  0.82,   0.80,     0.86,     0.93
000491,     0,      2,  0.75,   0.73,     0.67,     1.08
000491,     1,      0,  0.92,   0.80,     0.93,     0.86
000491,     2,      1,  0.89,   0.84,     0.88,     0.95
000491,     3,      3,  0.91,   0.84,     0.67,     1.25
000492,     0,      2,  0.89,   0.79,     0.67,     1.17
000492,     2,      0,  0.90,   0.78,     1.00,     0.78
000492,     3,     10,  0.20,   0.56,     0.81,     0.70
000492,     4,      1,  0.96,   0.84,     0.91,     0.92
000492,     5,      4,  0.93,   0.85,     0.88,     0.97
000492,     6,      8,  0.64,   0.61,     0.42,     1.44
000492,     7,      5,  0.81,   0.68,     0.55,     1.24
000492,     9,      6,  0.88,   0.73,     0.66,     1.10
000493,     1,      0,  0.91,   0.76,     1.00,     0.76
000493,     3,      1,  0.85,   0.84,     0.84,     1.00
000493,     4,      5,  0.82,   0.72,     0.57,     1.25
000493,     5,      3,  0.89,   0.79,     0.65,     1.22
000494,     0,      1,  0.81,   0.58,     0.47,     1.23
000494,     1,      0,  0.95,   0.76,     1.00,     0.76
000494,     2,      2,  0.75,   0.72,     0.94,     0.76
000494,     3,      3,  0.82,   0.81,     0.79,     1.03
000494,     4,      4,  0.70,   0.75,     0.66,     1.14
000495,     2,      1,  0.92,   0.83,     0.92,     0.91
000495,     3,      2,  0.85,   0.84,     0.75,     1.12
000495,     5,      3,  0.88,   0.87,     0.79,     1.10
000503,     0,      1,  0.85,   0.62,     0.50,     1.23
000503,     3,      0,  0.79,   0.78,     0.91,     0.85
000504,     0,      0,  0.91,   0.76,     1.00,     0.76
000506,     0,      3,  0.85,   0.32,     0.21,     1.53
000506,     2,      1,  0.83,   0.83,     0.72,     1.14
000506,     3,      2,  0.78,   0.77,     0.80,     0.96
000508,     0,      0,  0.66,   0.62,     0.53,     1.17
000510,     1,      1,  0.94,   0.76,     1.00,     0.76
000510,     2,      2,  0.90,   0.82,     0.91,     0.91
000510,     3,      0,  0.90,   0.79,     1.00,     0.79
000510,     4,      3,  0.83,   0.79,     0.73,     1.08
000510,     5,      6,  0.76,   0.77,     0.71,     1.08
000510,     6,      5,  0.72,   0.78,     0.79,     0.98
000512,     1,      0,  0.86,   0.87,     0.77,     1.13
000515,     0,      4,  0.89,   0.57,     0.46,     1.23
000515,     2,      1,  0.90,   0.78,     1.00,     0.78
000515,     3,      2,  0.96,   0.79,     1.00,     0.79
000515,     4,      7,  0.72,   0.76,     0.70,     1.10
000515,     5,      3,  0.92,   0.84,     0.89,     0.94
000515,     6,      6,  0.84,   0.84,     0.71,     1.19
000517,     1,      1,  0.89,   0.84,     0.86,     0.97
000517,     2,      0,  0.89,   0.84,     0.88,     0.95
000517,     3,      5,  0.47,   0.62,     0.44,     1.43
000519,     4,      4,  0.97,   0.76,     0.90,     0.84
000519,     5,      0,  0.95,   0.79,     0.91,     0.87
000519,     6,      6,  0.92,   0.82,     0.91,     0.90
000519,     7,      7,  0.94,   0.81,     0.91,     0.89
000519,     8,      8,  0.85,   0.82,     0.66,     1.25
000519,     9,      2,  0.95,   0.88,     0.87,     1.02
000519,    10,     13,  0.74,   0.40,     0.23,     1.78
000521,     0,      2,  0.88,   0.42,     0.28,     1.50
000521,     1,      0,  0.87,   0.77,     0.94,     0.82
000521,     2,      1,  0.86,   0.58,     0.44,     1.33
000524,     0,      4,  0.24,   0.49,     0.23,     2.19
000524,     2,      0,  0.89,   0.82,     0.88,     0.93
000527,     0,      5,  0.88,   0.51,     0.40,     1.27
000527,     1,      1,  0.97,   0.77,     1.00,     0.77
000527,     2,      6,  0.90,   0.79,     0.86,     0.91
000527,     3,      0,  0.90,   0.80,     0.93,     0.86
000527,     4,      4,  0.86,   0.61,     0.49,     1.25
000527,     5,      2,  0.93,   0.86,     0.87,     0.99
000528,     1,      1,  0.91,   0.83,     0.93,     0.90
000528,     2,      2,  0.96,   0.87,     0.76,     1.14
000530,     0,      0,  0.81,   0.83,     0.78,     1.06
000533,     0,     -1,  0.00,   0.00,     0.31,     0.00
000536,     0,      0,  0.70,   0.67,     0.88,     0.77
000541,     2,      1,  0.88,   0.81,     0.90,     0.91
000541,     3,      0,  0.91,   0.77,     0.90,     0.86
000541,     4,      2,  0.89,   0.79,     0.88,     0.90
000541,     5,      4,  0.79,   0.82,     0.70,     1.18
000542,     1,      1,  0.23,   0.70,     0.75,     0.93
000542,     2,      0,  0.90,   0.80,     0.93,     0.86
000542,     4,      4,  0.67,   0.72,     0.66,     1.09
000543,     0,      1,  0.89,   0.81,     0.94,     0.86
000545,     0,      0,  0.87,   0.78,     0.89,     0.88
000545,     2,      2,  0.88,   0.80,     0.86,     0.93
000546,     0,      0,  0.82,   0.75,     0.89,     0.84
000548,     1,      1,  0.94,   0.79,     1.00,     0.79
000548,     4,      2,  0.66,   0.72,     0.73,     1.00
000548,     7,      0,  0.93,   0.81,     0.93,     0.87
000551,     0,      0,  0.88,   0.84,     0.86,     0.97
000551,     2,      3,  0.83,   0.82,     0.70,     1.16
000551,     3,      1,  0.70,   0.72,     0.75,     0.96
000554,     0,      1,  0.92,   0.81,     0.91,     0.90
000554,     1,      0,  0.86,   0.73,     1.00,     0.73
000554,     2,     11,  0.71,   0.72,     0.80,     0.90
000554,     3,      2,  0.88,   0.80,     0.84,     0.95
