frame, gt_idx, det_idx,  IoU, JIoU(gt_unc&det_unc), JIoU(gt_unc&gt), JIoU(gt_unc&det), JIoU ratio
004157,     4,      4,  0.68,   0.27,     0.25,     0.21,     1.09
004158,     5,      5,  0.06,   0.67,     0.67,     0.06,     1.00
004163,     4,      2,  0.87,   0.56,     0.54,     0.55,     1.04
004163,     5,      4,  0.91,   0.77,     0.65,     0.63,     1.19
004163,     6,      6,  0.86,   0.74,     0.70,     0.67,     1.06
004163,     7,      3,  0.85,   0.74,     0.69,     0.66,     1.07
004163,     8,      9,  0.75,   0.68,     0.69,     0.63,     0.98
004173,     0,      0,  0.72,   0.48,     0.45,     0.42,     1.08
004174,     4,      4,  0.90,   0.55,     0.50,     0.50,     1.11
004175,     3,     -1,  0.00,   0.00,     0.28,     0.00,     0.00
004196,     4,      5,  0.79,   0.57,     0.51,     0.50,     1.11
004196,     5,      4,  0.85,   0.47,     0.43,     0.43,     1.11
004205,     3,      4,  0.76,   0.35,     0.30,     0.30,     1.17
004206,     5,     -1,  0.00,   0.00,     0.58,     0.00,     0.00
004206,     6,      5,  0.74,   0.67,     0.70,     0.59,     0.96
004207,     6,      6,  0.82,   0.51,     0.45,     0.45,     1.13
004207,     7,      5,  0.83,   0.71,     0.65,     0.62,     1.10
004209,     0,      3,  0.81,   0.43,     0.41,     0.41,     1.05
004209,     2,      2,  0.90,   0.41,     0.34,     0.33,     1.20
004213,     5,      5,  0.81,   0.53,     0.50,     0.49,     1.06
004213,     9,     10,  0.68,   0.42,     0.39,     0.34,     1.07
004214,     0,      3,  0.90,   0.53,     0.50,     0.50,     1.05
004214,     4,     -1,  0.00,   0.00,     0.39,     0.00,     0.00
004221,     6,      6,  0.92,   0.61,     0.56,     0.56,     1.08
004224,     1,     -1,  0.00,   0.00,     0.55,     0.00,     0.00
004228,     5,      5,  0.27,   0.34,     0.31,     0.28,     1.08
004232,     0,      4,  0.84,   0.68,     0.60,     0.60,     1.13
004232,     2,      7,  0.84,   0.71,     0.64,     0.62,     1.10
004239,     1,      1,  0.86,   0.76,     0.70,     0.69,     1.10
004239,     2,      2,  0.35,   0.40,     0.40,     0.34,     1.00
004242,     2,      2,  0.94,   0.45,     0.38,     0.38,     1.16
004243,     8,     -1,  0.00,   0.00,     0.38,     0.00,     0.00
004246,     8,     10,  0.61,   0.62,     0.62,     0.49,     1.00
004246,     9,      6,  0.84,   0.72,     0.62,     0.64,     1.16
004248,     0,      2,  0.92,   0.62,     0.60,     0.59,     1.05
004248,     4,      5,  0.50,   0.25,     0.22,     0.20,     1.12
004248,     5,      3,  0.00,   0.69,     0.68,     0.00,     1.01
004249,     5,      5,  0.80,   0.49,     0.46,     0.44,     1.07
004254,     0,      4,  0.89,   0.41,     0.38,     0.38,     1.07
004254,     5,      5,  0.87,   0.52,     0.49,     0.49,     1.06
004254,     7,      7,  0.94,   0.71,     0.60,     0.60,     1.18
004256,     0,      2,  0.90,   0.40,     0.34,     0.32,     1.19
004259,     3,      3,  0.94,   0.68,     0.63,     0.63,     1.07
004259,     5,      6,  0.82,   0.43,     0.40,     0.38,     1.08
004259,     6,     10,  0.52,   0.46,     0.53,     0.36,     0.88
004263,     8,      8,  0.95,   0.73,     0.69,     0.69,     1.06
004263,     9,      9,  0.80,   0.78,     0.70,     0.69,     1.11
004263,    11,     11,  0.87,   0.46,     0.42,     0.41,     1.10
004270,     4,      4,  0.80,   0.57,     0.57,     0.54,     1.00
004270,     5,      5,  0.63,   0.54,     0.52,     0.48,     1.04
004270,     6,     -1,  0.00,   0.00,     0.29,     0.00,     0.00
004275,     0,      6,  0.95,   0.33,     0.31,     0.31,     1.08
004275,     6,      7,  0.81,   0.55,     0.55,     0.45,     1.01
004285,     1,      2,  0.51,   0.54,     0.42,     0.25,     1.28
004288,     8,     -1,  0.00,   0.00,     0.24,     0.00,     0.00
004289,     4,      3,  0.90,   0.49,     0.43,     0.43,     1.13
004289,     5,      6,  0.86,   0.73,     0.70,     0.66,     1.04
004289,     6,      7,  0.86,   0.63,     0.58,     0.55,     1.09
004289,     8,      9,  0.02,   0.68,     0.65,     0.03,     1.04
004290,     7,      5,  0.90,   0.64,     0.61,     0.59,     1.06
004290,    10,      6,  0.67,   0.49,     0.45,     0.43,     1.07
004295,     0,      3,  0.88,   0.64,     0.62,     0.62,     1.03
004295,     4,      4,  0.91,   0.72,     0.68,     0.68,     1.06
004295,     8,      6,  0.82,   0.74,     0.68,     0.67,     1.09
004298,     3,     -1,  0.00,   0.00,     0.35,     0.00,     0.00
004300,     3,      6,  0.87,   0.75,     0.68,     0.67,     1.09
004300,     5,      8,  0.83,   0.52,     0.46,     0.40,     1.13
004301,     7,      7,  0.80,   0.42,     0.31,     0.21,     1.35
004301,     8,      5,  0.85,   0.57,     0.57,     0.52,     1.00
004307,     3,      1,  0.88,   0.63,     0.57,     0.56,     1.10
004307,     5,      6,  0.86,   0.28,     0.20,     0.21,     1.38
004311,     4,      4,  0.80,   0.57,     0.57,     0.53,     1.00
004311,     5,      5,  0.69,   0.59,     0.58,     0.54,     1.01
004312,     7,     -1,  0.00,   0.00,     0.63,     0.00,     0.00
004312,     8,     15,  0.93,   0.66,     0.60,     0.60,     1.11
004318,     1,      1,  0.76,   0.60,     0.58,     0.56,     1.04
004319,     0,      0,  0.62,   0.31,     0.23,     0.28,     1.35
004324,     6,      5,  0.47,   0.52,     0.44,     0.30,     1.17
004326,     6,      6,  0.85,   0.36,     0.32,     0.32,     1.13
004326,     8,      7,  0.70,   0.60,     0.54,     0.52,     1.11
004329,     0,      2,  0.01,   0.40,     0.23,     0.00,     1.72
004330,     4,      1,  0.83,   0.72,     0.66,     0.63,     1.09
004336,     3,      2,  0.47,   0.40,     0.47,     0.36,     0.86
004337,     3,      2,  0.78,   0.28,     0.22,     0.26,     1.29
004338,    13,      3,  0.05,   0.54,     0.53,     0.03,     1.02
004348,     2,      2,  0.73,   0.40,     0.36,     0.36,     1.12
004350,     5,      4,  0.84,   0.59,     0.51,     0.53,     1.16
004360,     8,      8,  0.76,   0.71,     0.66,     0.64,     1.08
004360,     9,      4,  0.89,   0.73,     0.69,     0.68,     1.06
004360,    13,     12,  0.97,   0.44,     0.39,     0.39,     1.11
004363,     3,      4,  0.86,   0.65,     0.61,     0.61,     1.07
004363,     5,      5,  0.68,   0.41,     0.37,     0.36,     1.09
004368,     5,      6,  0.85,   0.40,     0.37,     0.37,     1.08
004370,     8,      8,  0.78,   0.35,     0.30,     0.29,     1.19
004373,     1,      1,  0.75,   0.51,     0.48,     0.47,     1.06
004383,     0,      3,  0.79,   0.25,     0.21,     0.21,     1.18
004385,     1,      1,  0.87,   0.62,     0.58,     0.56,     1.06
004385,     3,      3,  0.22,   0.36,     0.44,     0.27,     0.83
004391,     8,      8,  0.82,   0.67,     0.65,     0.64,     1.04
004392,     8,      7,  0.90,   0.54,     0.50,     0.51,     1.08
004392,    10,     10,  0.88,   0.73,     0.62,     0.62,     1.17
004396,     0,      1,  0.85,   0.49,     0.50,     0.42,     0.98
004396,     1,      0,  0.81,   0.57,     0.57,     0.49,     1.00
004397,     0,      2,  0.92,   0.28,     0.22,     0.21,     1.27
004401,     8,      8,  0.84,   0.43,     0.38,     0.38,     1.12
004403,     0,      0,  0.86,   0.59,     0.56,     0.55,     1.06
004406,     6,      9,  0.72,   0.63,     0.59,     0.56,     1.08
004414,     0,     -1,  0.00,   0.00,     0.36,     0.00,     0.00
004418,     3,      2,  0.94,   0.72,     0.69,     0.68,     1.04
004418,     4,      4,  0.64,   0.54,     0.48,     0.45,     1.14
004420,     3,      3,  0.87,   0.42,     0.36,     0.37,     1.17
004423,     2,      2,  0.11,   0.32,     0.31,     0.10,     1.03
004435,     0,      2,  0.77,   0.55,     0.43,     0.45,     1.28
004435,     3,      1,  0.87,   0.75,     0.63,     0.62,     1.19
004435,     5,      3,  0.86,   0.43,     0.32,     0.34,     1.36
004447,     0,      3,  0.84,   0.54,     0.52,     0.51,     1.05
004447,     8,      9,  0.24,   0.31,     0.47,     0.28,     0.67
004452,     5,      5,  0.86,   0.56,     0.49,     0.48,     1.15
004454,     2,      1,  0.18,   0.45,     0.41,     0.08,     1.10
004460,     0,      3,  0.75,   0.43,     0.37,     0.31,     1.17
004462,     8,      8,  0.84,   0.54,     0.48,     0.48,     1.13
004472,     2,      2,  0.88,   0.66,     0.65,     0.62,     1.01
004475,     2,      3,  0.94,   0.59,     0.51,     0.51,     1.16
004481,     7,     -1,  0.00,   0.00,     0.34,     0.00,     0.00
004483,     4,      2,  0.83,   0.43,     0.42,     0.39,     1.03
004491,     3,      5,  0.70,   0.55,     0.52,     0.49,     1.06
004493,     5,     13,  0.67,   0.27,     0.20,     0.21,     1.34
004493,     6,      6,  0.83,   0.57,     0.51,     0.51,     1.13
004493,     8,      7,  0.89,   0.75,     0.68,     0.67,     1.09
004494,     2,     -1,  0.00,   0.00,     0.44,     0.00,     0.00
004496,     4,     -1,  0.00,   0.00,     0.67,     0.00,     0.00
004496,     5,      6,  0.74,   0.72,     0.70,     0.63,     1.03
004496,     8,      8,  0.79,   0.58,     0.47,     0.48,     1.22
004501,     0,      1,  0.66,   0.59,     0.60,     0.54,     0.98
004502,     0,      0,  0.70,   0.44,     0.45,     0.40,     0.97
004513,     7,      7,  0.90,   0.66,     0.58,     0.58,     1.14
004513,     8,      6,  0.83,   0.66,     0.61,     0.59,     1.08
004513,     9,     12,  0.81,   0.38,     0.34,     0.33,     1.12
004513,    10,     11,  0.90,   0.37,     0.33,     0.33,     1.13
004516,     7,      7,  0.80,   0.64,     0.66,     0.61,     0.97
004516,     9,      8,  0.87,   0.59,     0.57,     0.53,     1.04
004517,     0,      6,  0.91,   0.34,     0.32,     0.32,     1.07
004517,     4,      4,  0.87,   0.41,     0.38,     0.36,     1.08
004519,     5,      3,  0.82,   0.68,     0.66,     0.63,     1.03
004519,     8,      6,  0.82,   0.72,     0.66,     0.66,     1.09
004520,     9,      7,  0.79,   0.23,     0.20,     0.20,     1.15
004526,     3,      2,  0.73,   0.72,     0.64,     0.60,     1.13
004541,     3,      3,  0.81,   0.69,     0.65,     0.62,     1.06
004541,     6,     -1,  0.00,   0.00,     0.68,     0.00,     0.00
004556,     0,      3,  0.83,   0.29,     0.23,     0.23,     1.23
004557,     0,      0,  0.61,   0.41,     0.35,     0.37,     1.16
004567,     1,      0,  0.77,   0.26,     0.23,     0.23,     1.11
004574,     0,      0,  0.63,   0.46,     0.42,     0.42,     1.09
004581,     2,      0,  0.70,   0.56,     0.53,     0.50,     1.07
004587,     4,      5,  0.95,   0.72,     0.68,     0.68,     1.05
004596,     0,      2,  0.75,   0.38,     0.32,     0.34,     1.18
004596,     3,      3,  0.75,   0.53,     0.46,     0.46,     1.14
004598,     4,      3,  0.91,   0.75,     0.65,     0.63,     1.16
004603,     6,      7,  0.90,   0.50,     0.48,     0.48,     1.04
004603,     7,      8,  0.81,   0.77,     0.69,     0.67,     1.12
004609,     3,      3,  0.85,   0.59,     0.57,     0.56,     1.03
004610,     4,      6,  0.96,   0.60,     0.54,     0.54,     1.11
004622,     2,      4,  0.76,   0.76,     0.70,     0.69,     1.09
004624,     1,      4,  0.82,   0.67,     0.62,     0.61,     1.08
004633,     7,     13,  0.13,   0.58,     0.42,     0.07,     1.38
004636,     6,      6,  0.84,   0.71,     0.64,     0.63,     1.11
004640,     6,      6,  0.86,   0.58,     0.54,     0.51,     1.07
004640,     7,      7,  0.76,   0.25,     0.26,     0.21,     0.95
004640,     8,      8,  0.91,   0.53,     0.49,     0.43,     1.09
004648,     0,      4,  0.92,   0.32,     0.30,     0.30,     1.05
004648,     3,      6,  0.83,   0.46,     0.41,     0.41,     1.13
004648,     6,      5,  0.81,   0.68,     0.63,     0.60,     1.07
004649,     0,      1,  0.89,   0.35,     0.28,     0.29,     1.22
004651,     3,      4,  0.76,   0.65,     0.54,     0.54,     1.21
004652,     4,      3,  0.87,   0.48,     0.45,     0.46,     1.07
004657,     2,      0,  0.89,   0.65,     0.56,     0.54,     1.16
004658,     0,      1,  0.69,   0.50,     0.42,     0.43,     1.19
004667,     2,      2,  0.39,   0.49,     0.52,     0.41,     0.95
004668,     4,      7,  0.77,   0.46,     0.34,     0.26,     1.34
004669,     0,      3,  0.83,   0.38,     0.28,     0.29,     1.33
004672,     4,      4,  0.81,   0.52,     0.51,     0.47,     1.04
004673,     5,     -1,  0.00,   0.00,     0.39,     0.00,     0.00
004673,     7,     -1,  0.00,   0.00,     0.42,     0.00,     0.00
004682,     0,      5,  0.96,   0.44,     0.41,     0.41,     1.06
004682,     6,      8,  0.80,   0.69,     0.61,     0.57,     1.12
004685,     6,     10,  0.88,   0.76,     0.66,     0.67,     1.14
004685,     7,      6,  0.86,   0.38,     0.33,     0.34,     1.15
004685,     8,      8,  0.85,   0.57,     0.53,     0.53,     1.08
004685,     9,      9,  0.81,   0.40,     0.36,     0.36,     1.12
004686,     6,      4,  0.82,   0.68,     0.68,     0.67,     1.00
004686,     8,      7,  0.78,   0.70,     0.70,     0.63,     1.00
004686,     9,     15,  0.72,   0.24,     0.20,     0.13,     1.20
004687,     0,      0,  0.72,   0.41,     0.37,     0.36,     1.09
004688,     1,      3,  0.84,   0.53,     0.47,     0.46,     1.15
004689,     4,      2,  0.92,   0.55,     0.49,     0.49,     1.12
004689,     8,      8,  0.76,   0.50,     0.50,     0.43,     1.01
004691,     5,      8,  0.80,   0.58,     0.51,     0.50,     1.14
004692,     1,      1,  0.85,   0.44,     0.42,     0.39,     1.05
004697,     0,      2,  0.84,   0.39,     0.33,     0.33,     1.21
004700,     3,      5,  0.82,   0.52,     0.47,     0.49,     1.10
004700,     4,      2,  0.71,   0.49,     0.46,     0.45,     1.06
004706,     1,      0,  0.82,   0.66,     0.63,     0.59,     1.05
004708,     5,      6,  0.96,   0.49,     0.46,     0.46,     1.07
004708,     8,      7,  0.86,   0.57,     0.52,     0.53,     1.08
004708,     9,      9,  0.90,   0.42,     0.39,     0.40,     1.08
004710,     4,      3,  0.80,   0.73,     0.68,     0.66,     1.09
004711,     4,      4,  0.87,   0.45,     0.42,     0.43,     1.08
004715,     0,      4,  0.94,   0.48,     0.46,     0.46,     1.06
004715,     7,      8,  0.75,   0.50,     0.45,     0.41,     1.11
004716,     4,      3,  0.86,   0.47,     0.44,     0.44,     1.05
004716,     5,      8,  0.06,   0.41,     0.27,     0.02,     1.53
004717,     3,      2,  0.74,   0.73,     0.63,     0.64,     1.16
004718,     0,      2,  0.64,   0.52,     0.40,     0.41,     1.29
004721,     3,      3,  0.71,   0.67,     0.70,     0.61,     0.96
004730,     5,     10,  0.82,   0.71,     0.66,     0.62,     1.08
004734,     4,      4,  0.83,   0.62,     0.54,     0.54,     1.14
004739,     2,      3,  0.81,   0.60,     0.56,     0.54,     1.06
004742,     0,      2,  0.84,   0.49,     0.47,     0.47,     1.04
004742,     3,     -1,  0.00,   0.00,     0.35,     0.00,     0.00
004743,     0,      4,  0.94,   0.43,     0.41,     0.41,     1.06
004743,     8,      9,  0.21,   0.26,     0.69,     0.24,     0.38
004748,     5,      8,  0.80,   0.48,     0.40,     0.39,     1.20
004753,     2,      5,  0.18,   0.36,     0.64,     0.15,     0.55
004756,     4,      3,  0.85,   0.69,     0.66,     0.64,     1.05
004756,     5,      4,  0.80,   0.64,     0.62,     0.52,     1.03
004756,     6,      5,  0.77,   0.28,     0.23,     0.21,     1.21
004763,     2,      2,  0.85,   0.41,     0.32,     0.34,     1.28
004764,     6,      6,  0.91,   0.56,     0.50,     0.49,     1.11
004764,     9,      5,  0.91,   0.72,     0.68,     0.65,     1.07
004766,     3,      7,  0.87,   0.74,     0.68,     0.66,     1.09
004769,     0,      6,  0.90,   0.63,     0.59,     0.57,     1.06
004769,     8,      9,  0.68,   0.52,     0.45,     0.39,     1.16
004777,     4,      2,  0.12,   0.28,     0.26,     0.15,     1.10
004787,     8,      8,  0.82,   0.63,     0.57,     0.55,     1.11
004787,     9,     -1,  0.00,   0.00,     0.68,     0.00,     0.00
004787,    13,     -1,  0.00,   0.00,     0.43,     0.00,     0.00
004791,     0,      0,  0.84,   0.47,     0.41,     0.40,     1.15
004799,     0,      1,  0.76,   0.35,     0.28,     0.31,     1.25
004800,    13,     12,  0.89,   0.60,     0.51,     0.52,     1.18
004811,     5,      4,  0.67,   0.65,     0.60,     0.59,     1.07
004814,     6,      4,  0.60,   0.43,     0.40,     0.38,     1.08
004816,     4,      3,  0.21,   0.26,     0.70,     0.22,     0.38
004822,    10,      9,  0.79,   0.35,     0.30,     0.30,     1.16
004830,     2,      4,  0.86,   0.64,     0.59,     0.56,     1.08
004830,     3,      2,  0.81,   0.60,     0.55,     0.54,     1.08
004831,     3,      4,  0.00,   0.50,     0.58,     0.00,     0.86
004832,     8,      7,  0.87,   0.35,     0.29,     0.31,     1.18
004843,     0,      2,  0.90,   0.48,     0.45,     0.45,     1.06
004843,     3,      4,  0.92,   0.29,     0.24,     0.24,     1.23
004843,     5,      5,  0.14,   0.57,     0.66,     0.12,     0.87
004846,     2,      2,  0.86,   0.65,     0.58,     0.59,     1.12
004848,     1,      1,  0.86,   0.46,     0.43,     0.43,     1.09
004850,     0,      3,  0.79,   0.39,     0.33,     0.33,     1.18
004858,     3,      7,  0.72,   0.72,     0.67,     0.64,     1.07
004858,     4,      4,  0.88,   0.69,     0.67,     0.66,     1.03
004858,     6,      5,  0.94,   0.49,     0.43,     0.43,     1.13
004858,     7,      6,  0.87,   0.66,     0.59,     0.58,     1.12
004859,     6,      6,  0.81,   0.72,     0.69,     0.68,     1.04
004860,     5,     10,  0.90,   0.74,     0.68,     0.68,     1.09
004860,     6,      5,  0.82,   0.59,     0.60,     0.54,     0.98
004862,     6,      4,  0.55,   0.47,     0.40,     0.40,     1.18
004864,     0,      0,  0.85,   0.80,     0.70,     0.68,     1.14
004868,     2,      2,  0.81,   0.63,     0.50,     0.52,     1.26
004871,     9,     -1,  0.00,   0.00,     0.33,     0.00,     0.00
004874,     7,      6,  0.87,   0.60,     0.54,     0.53,     1.11
004874,     8,      8,  0.87,   0.25,     0.20,     0.20,     1.25
004874,     9,     -1,  0.00,   0.00,     0.65,     0.00,     0.00
004885,     0,      4,  0.75,   0.36,     0.33,     0.32,     1.07
004885,     6,      2,  0.96,   0.73,     0.68,     0.68,     1.07
004887,     6,      5,  0.90,   0.64,     0.57,     0.57,     1.13
004891,     0,      3,  0.86,   0.25,     0.21,     0.20,     1.21
004892,     2,      3,  0.81,   0.73,     0.67,     0.67,     1.09
004893,     1,      1,  0.15,   0.43,     0.35,     0.06,     1.21
004895,     1,      2,  0.87,   0.59,     0.52,     0.52,     1.12
004902,     7,      8,  0.76,   0.32,     0.27,     0.28,     1.17
004902,     8,      6,  0.83,   0.62,     0.59,     0.59,     1.06
004902,     9,     10,  0.80,   0.69,     0.63,     0.63,     1.10
004902,    10,      9,  0.85,   0.59,     0.54,     0.55,     1.09
004907,     0,      0,  0.81,   0.42,     0.36,     0.34,     1.17
004909,     3,      6,  0.80,   0.75,     0.69,     0.68,     1.08
004909,     8,      9,  0.85,   0.63,     0.57,     0.56,     1.11
004909,    13,     -1,  0.00,   0.00,     0.41,     0.00,     0.00
004917,     0,      1,  0.72,   0.56,     0.44,     0.43,     1.26
004920,     8,     -1,  0.00,   0.00,     0.56,     0.00,     0.00
004920,     9,      6,  0.79,   0.71,     0.63,     0.61,     1.12
004926,     8,      6,  0.89,   0.63,     0.59,     0.59,     1.07
004926,     9,      8,  0.88,   0.66,     0.61,     0.61,     1.07
004927,     0,      0,  0.67,   0.36,     0.30,     0.32,     1.20
004929,     0,      4,  0.90,   0.43,     0.41,     0.40,     1.05
004929,     6,      7,  0.88,   0.70,     0.63,     0.60,     1.11
004934,     6,      7,  0.74,   0.74,     0.70,     0.67,     1.06
004934,     7,      6,  0.82,   0.71,     0.66,     0.61,     1.07
004934,     8,      8,  0.78,   0.74,     0.69,     0.67,     1.07
004934,    13,     17,  0.82,   0.50,     0.45,     0.42,     1.13
004935,     5,      4,  0.78,   0.73,     0.67,     0.66,     1.09
004946,     7,      7,  0.65,   0.30,     0.25,     0.24,     1.18
004946,     8,      5,  0.78,   0.21,     0.21,     0.19,     1.02
004947,     0,      1,  0.85,   0.42,     0.35,     0.37,     1.21
004953,     5,      3,  0.68,   0.65,     0.59,     0.56,     1.09
004953,     6,      4,  0.80,   0.30,     0.28,     0.26,     1.05
004958,     2,      4,  0.79,   0.48,     0.40,     0.38,     1.19
004959,     5,      6,  0.85,   0.45,     0.41,     0.42,     1.10
004959,     7,     -1,  0.00,   0.00,     0.46,     0.00,     0.00
004963,    11,      2,  0.75,   0.62,     0.59,     0.54,     1.05
004981,     0,      4,  0.89,   0.64,     0.60,     0.60,     1.06
004981,     5,      7,  0.72,   0.32,     0.25,     0.25,     1.30
004981,     7,     -1,  0.00,   0.00,     0.33,     0.00,     0.00
004985,     6,     12,  0.62,   0.60,     0.58,     0.53,     1.03
004990,     4,      6,  0.82,   0.68,     0.61,     0.60,     1.12
004990,     7,     10,  0.16,   0.51,     0.46,     0.07,     1.11
004993,     0,      6,  0.91,   0.29,     0.27,     0.27,     1.07
004993,     4,      7,  0.72,   0.67,     0.67,     0.59,     0.99
004993,     8,      9,  0.88,   0.70,     0.64,     0.63,     1.11
004994,     2,      2,  0.77,   0.69,     0.63,     0.59,     1.10
004999,     5,      6,  0.88,   0.59,     0.58,     0.55,     1.02
004999,     8,      7,  0.89,   0.40,     0.37,     0.38,     1.10
004999,     9,      9,  0.91,   0.61,     0.55,     0.55,     1.11
005008,     8,      7,  0.81,   0.74,     0.67,     0.64,     1.11
005013,     4,      6,  0.86,   0.70,     0.66,     0.64,     1.06
005013,     6,      7,  0.83,   0.41,     0.39,     0.36,     1.06
005013,     7,      5,  0.93,   0.70,     0.66,     0.66,     1.06
005015,     0,      0,  0.65,   0.47,     0.41,     0.42,     1.14
005026,     8,      7,  0.81,   0.30,     0.27,     0.27,     1.08
005026,    11,     -1,  0.00,   0.00,     0.45,     0.00,     0.00
005034,     4,      4,  0.90,   0.55,     0.49,     0.49,     1.14
005038,     3,     -1,  0.00,   0.00,     0.69,     0.00,     0.00
005049,     9,     11,  0.73,   0.60,     0.51,     0.49,     1.17
005053,     8,      6,  0.87,   0.64,     0.56,     0.57,     1.14
005054,     6,      6,  0.78,   0.49,     0.39,     0.41,     1.28
005056,     3,      8,  0.96,   0.55,     0.49,     0.49,     1.11
005056,     5,      9,  0.84,   0.31,     0.26,     0.25,     1.18
005057,     8,     -1,  0.00,   0.00,     0.47,     0.00,     0.00
005058,     7,     -1,  0.00,   0.00,     0.25,     0.00,     0.00
005062,     0,      3,  0.68,   0.33,     0.29,     0.29,     1.16
005067,     4,      3,  0.82,   0.51,     0.49,     0.40,     1.03
005072,     8,     -1,  0.00,   0.00,     0.44,     0.00,     0.00
005073,     0,      3,  0.88,   0.43,     0.41,     0.41,     1.03
005073,     5,      6,  0.78,   0.38,     0.36,     0.34,     1.05
005073,     7,      7,  0.91,   0.75,     0.69,     0.69,     1.09
005074,     6,      6,  0.89,   0.59,     0.55,     0.54,     1.06
005074,     7,      5,  0.95,   0.68,     0.63,     0.63,     1.08
005077,     0,      1,  0.79,   0.32,     0.27,     0.27,     1.19
005081,     0,      1,  0.87,   0.43,     0.36,     0.35,     1.17
005086,    11,      2,  0.01,   0.42,     0.27,     0.00,     1.56
005090,     5,      4,  0.91,   0.71,     0.69,     0.68,     1.03
005090,     6,      6,  0.38,   0.32,     0.25,     0.18,     1.28
005101,     0,      1,  0.75,   0.57,     0.42,     0.39,     1.36
005103,     4,      5,  0.76,   0.61,     0.58,     0.53,     1.05
005103,     6,      7,  0.79,   0.55,     0.48,     0.47,     1.16
005109,     5,      5,  0.74,   0.53,     0.43,     0.44,     1.23
005113,     0,      0,  0.68,   0.48,     0.44,     0.43,     1.08
005127,     4,      5,  0.91,   0.68,     0.63,     0.63,     1.08
005133,     0,      2,  0.75,   0.39,     0.34,     0.34,     1.14
005135,     2,      2,  0.88,   0.71,     0.65,     0.66,     1.09
005135,     5,      5,  0.83,   0.62,     0.53,     0.54,     1.17
005138,     4,      9,  0.48,   0.45,     0.58,     0.42,     0.77
005138,     6,      5,  0.78,   0.68,     0.63,     0.62,     1.07
005138,     7,     -1,  0.00,   0.00,     0.55,     0.00,     0.00
005140,     4,      4,  0.85,   0.76,     0.69,     0.69,     1.11
005144,     3,      5,  0.66,   0.53,     0.46,     0.42,     1.15
005145,     6,      4,  0.86,   0.72,     0.68,     0.67,     1.07
005145,     8,      8,  0.79,   0.69,     0.64,     0.63,     1.09
005145,     9,     11,  0.90,   0.78,     0.67,     0.68,     1.15
005145,    10,     12,  0.88,   0.76,     0.69,     0.66,     1.10
005149,     2,      4,  0.41,   0.56,     0.61,     0.37,     0.92
005153,     0,      1,  0.66,   0.51,     0.48,     0.46,     1.06
005156,     4,      4,  0.93,   0.47,     0.44,     0.44,     1.07
005158,     1,      1,  0.79,   0.61,     0.53,     0.53,     1.15
005161,     4,      6,  0.74,   0.69,     0.63,     0.54,     1.10
005162,     6,      6,  0.77,   0.68,     0.63,     0.61,     1.08
005162,     7,     12,  0.69,   0.63,     0.55,     0.53,     1.13
005162,     8,     -1,  0.00,   0.00,     0.64,     0.00,     0.00
005162,    13,     15,  0.87,   0.47,     0.41,     0.41,     1.14
005163,     4,      2,  0.96,   0.74,     0.69,     0.69,     1.06
005163,     5,      4,  0.90,   0.70,     0.64,     0.64,     1.10
005164,     0,      5,  0.85,   0.35,     0.32,     0.32,     1.08
005166,     4,      8,  0.73,   0.72,     0.65,     0.61,     1.11
005167,     0,      2,  0.03,   0.62,     0.44,     0.02,     1.42
005168,     0,     -1,  0.00,   0.00,     0.36,     0.00,     0.00
005175,     0,      1,  0.95,   0.71,     0.65,     0.65,     1.09
005175,     3,      2,  0.68,   0.35,     0.26,     0.26,     1.32
005179,     3,      4,  0.79,   0.73,     0.66,     0.61,     1.12
005179,     4,      6,  0.42,   0.40,     0.28,     0.15,     1.43
005184,     3,      3,  0.85,   0.62,     0.57,     0.57,     1.10
005189,     7,      7,  0.29,   0.38,     0.44,     0.34,     0.87
005190,     6,      6,  0.86,   0.38,     0.32,     0.32,     1.17
005190,     7,     13,  0.81,   0.76,     0.65,     0.66,     1.17
005190,     8,      7,  0.76,   0.53,     0.46,     0.44,     1.15
005190,     9,      5,  0.91,   0.75,     0.67,     0.66,     1.13
005190,    10,      3,  0.91,   0.63,     0.59,     0.59,     1.06
005191,     2,      6,  0.95,   0.54,     0.48,     0.48,     1.13
005191,     6,     10,  0.42,   0.42,     0.51,     0.33,     0.83
005191,     8,      7,  0.83,   0.74,     0.69,     0.68,     1.06
005191,    11,      5,  0.75,   0.31,     0.24,     0.28,     1.29
005198,     6,      6,  0.86,   0.77,     0.69,     0.67,     1.12
005198,     8,     11,  0.01,   0.61,     0.63,     0.01,     0.96
005198,     9,      7,  0.84,   0.27,     0.20,     0.20,     1.32
005199,     2,      2,  0.82,   0.70,     0.62,     0.59,     1.13
005201,     6,      6,  0.83,   0.72,     0.66,     0.65,     1.09
005213,     0,      3,  0.88,   0.31,     0.27,     0.27,     1.17
005214,     0,      3,  0.89,   0.36,     0.33,     0.33,     1.06
005214,     5,      4,  0.84,   0.63,     0.59,     0.58,     1.06
005214,     7,      6,  0.91,   0.54,     0.45,     0.43,     1.21
005217,     1,     -1,  0.00,   0.00,     0.27,     0.00,     0.00
005229,     4,     -1,  0.00,   0.00,     0.38,     0.00,     0.00
005229,     6,      5,  0.70,   0.59,     0.61,     0.49,     0.98
005229,     9,      3,  0.84,   0.43,     0.38,     0.38,     1.13
005234,     2,      4,  0.89,   0.77,     0.68,     0.64,     1.13
