frame, gt_idx, det_idx,  IoU, JIoU(gt_unc&det_unc), JIoU(gt_unc&gt), JIoU(gt_unc&det), JIoU ratio
003080,     3,      3,  0.23,   0.35,     0.32,     0.28,     1.12
003087,     5,      5,  0.46,   0.61,     0.66,     0.38,     0.91
003094,     6,      5,  0.60,   0.28,     0.20,     0.24,     1.45
003103,     4,      4,  0.72,   0.66,     0.59,     0.53,     1.13
003107,     9,      8,  0.80,   0.75,     0.67,     0.65,     1.13
003116,     0,      5,  0.92,   0.27,     0.25,     0.25,     1.09
003116,     6,      7,  0.28,   0.60,     0.44,     0.14,     1.35
003127,     3,      1,  0.74,   0.74,     0.70,     0.65,     1.06
003129,     0,      1,  0.84,   0.36,     0.28,     0.28,     1.28
003131,     5,      3,  0.90,   0.70,     0.66,     0.65,     1.06
003135,     6,      2,  0.69,   0.65,     0.58,     0.55,     1.12
003142,     4,      1,  0.81,   0.69,     0.64,     0.60,     1.08
003148,     2,      1,  0.62,   0.63,     0.63,     0.53,     1.00
003156,     0,     -1,  0.00,   0.00,     0.63,     0.00,     0.00
003159,     5,      3,  0.90,   0.72,     0.65,     0.65,     1.11
003159,     7,      8,  0.55,   0.36,     0.23,     0.14,     1.55
003167,     2,      5,  0.90,   0.77,     0.70,     0.68,     1.10
003175,     2,      1,  0.69,   0.50,     0.50,     0.45,     0.99
003179,     0,      1,  0.76,   0.32,     0.27,     0.29,     1.16
003180,     1,      1,  0.91,   0.74,     0.70,     0.70,     1.06
003181,     0,      2,  0.88,   0.51,     0.44,     0.44,     1.15
003187,     0,      3,  0.84,   0.47,     0.44,     0.44,     1.05
003187,     5,      4,  0.81,   0.74,     0.68,     0.62,     1.10
003192,     5,      5,  0.95,   0.60,     0.55,     0.55,     1.10
003192,     6,      6,  0.92,   0.60,     0.54,     0.54,     1.11
003194,     9,      9,  0.88,   0.59,     0.55,     0.55,     1.06
003197,     5,     10,  0.75,   0.47,     0.39,     0.39,     1.22
003197,    10,     -1,  0.00,   0.00,     0.64,     0.00,     0.00
003211,     5,     10,  0.74,   0.39,     0.32,     0.32,     1.22
003211,     6,      6,  0.83,   0.42,     0.36,     0.36,     1.16
003214,     0,      3,  0.90,   0.47,     0.45,     0.45,     1.04
003214,     5,      4,  0.83,   0.47,     0.38,     0.40,     1.23
003214,     7,      5,  0.87,   0.54,     0.44,     0.42,     1.22
003216,     6,      7,  0.71,   0.58,     0.42,     0.41,     1.37
003219,    10,      6,  0.80,   0.43,     0.40,     0.39,     1.06
003219,    12,     -1,  0.00,   0.00,     0.55,     0.00,     0.00
003219,    17,     -1,  0.00,   0.00,     0.52,     0.00,     0.00
003224,     3,      2,  0.83,   0.69,     0.66,     0.65,     1.06
003224,     4,      6,  0.81,   0.64,     0.60,     0.59,     1.06
003224,     6,      5,  0.76,   0.68,     0.65,     0.60,     1.04
003224,     8,      8,  0.60,   0.55,     0.48,     0.40,     1.15
003226,     2,      3,  0.71,   0.62,     0.52,     0.47,     1.20
003231,     4,      3,  0.96,   0.70,     0.65,     0.65,     1.07
003231,     5,      5,  0.89,   0.61,     0.55,     0.55,     1.11
003239,     4,      3,  0.84,   0.66,     0.63,     0.62,     1.05
003252,     4,      4,  0.86,   0.32,     0.30,     0.28,     1.06
003259,     0,      0,  0.82,   0.35,     0.30,     0.30,     1.16
003265,     4,      3,  0.79,   0.57,     0.50,     0.49,     1.15
003275,     0,      1,  0.63,   0.46,     0.42,     0.42,     1.10
003280,     4,      2,  0.95,   0.67,     0.64,     0.64,     1.06
003281,     4,      4,  0.71,   0.55,     0.45,     0.45,     1.21
003288,     4,      6,  0.87,   0.77,     0.70,     0.69,     1.11
003288,     7,      7,  0.87,   0.45,     0.40,     0.41,     1.12
003288,     9,      9,  0.85,   0.68,     0.60,     0.59,     1.14
003300,     0,      7,  0.25,   0.42,     0.25,     0.06,     1.65
003301,     3,      3,  0.83,   0.71,     0.66,     0.65,     1.08
003301,     5,      6,  0.68,   0.67,     0.68,     0.59,     0.99
003301,     6,     -1,  0.00,   0.00,     0.37,     0.00,     0.00
003301,    10,     -1,  0.00,   0.00,     0.39,     0.00,     0.00
003301,    12,      8,  0.85,   0.75,     0.67,     0.66,     1.12
003304,    10,     11,  0.39,   0.62,     0.60,     0.37,     1.03
003305,     0,      1,  0.85,   0.54,     0.51,     0.51,     1.06
003310,     6,      4,  0.89,   0.74,     0.66,     0.64,     1.12
003310,     9,     -1,  0.00,   0.00,     0.67,     0.00,     0.00
003310,    10,      5,  0.76,   0.48,     0.43,     0.43,     1.11
003318,     0,      0,  0.66,   0.32,     0.28,     0.28,     1.15
003325,     2,      2,  0.97,   0.32,     0.29,     0.29,     1.12
003325,     3,      5,  0.83,   0.50,     0.44,     0.44,     1.14
003338,     5,      5,  0.90,   0.49,     0.46,     0.44,     1.05
003343,     0,      2,  0.69,   0.47,     0.43,     0.42,     1.09
003343,     3,      7,  0.04,   0.14,     0.43,     0.09,     0.31
003346,     4,      4,  0.87,   0.61,     0.59,     0.58,     1.05
003353,     3,      2,  0.93,   0.74,     0.70,     0.70,     1.07
003353,     6,     12,  0.06,   0.29,     0.26,     0.01,     1.09
003353,     7,      8,  0.65,   0.50,     0.46,     0.43,     1.08
003355,     4,      2,  0.79,   0.57,     0.54,     0.51,     1.04
003355,     5,      4,  0.83,   0.46,     0.41,     0.38,     1.13
003355,     6,      3,  0.87,   0.65,     0.62,     0.59,     1.05
003357,     6,     -1,  0.00,   0.00,     0.48,     0.00,     0.00
003358,     4,      4,  0.84,   0.54,     0.52,     0.49,     1.03
003365,     0,      4,  0.75,   0.41,     0.35,     0.34,     1.16
003367,     0,      1,  0.84,   0.28,     0.24,     0.24,     1.17
003368,     3,      2,  0.72,   0.58,     0.54,     0.50,     1.08
